Day,Away,Home,RA,RH,Inn
4,89,CLE,SEA,0,3,9
4,89,CHW,HOU,3,2,9
4,89,LAA,OAK,1,2,9
4,89,PHI,TEX,7,11,9
4,89,DET,TBR,0,4,9
4,89,MIN,KCR,2,0,9
4,89,BAL,BOS,10,9,9
4,89,SFG,NYY,0,5,9
4,89,TOR,STL,10,9,9
4,89,ARI,LAD,2,8,9
4,89,COL,SDP,7,2,9
4,89,MIL,CHC,0,4,9
4,89,PIT,CIN,5,4,9
4,89,ATL,WSN,7,2,9
4,89,NYM,MIA,5,3,9
5,90,CLE,SEA,9,4,9
5,90,CHW,HOU,3,6,9
5,90,ARI,LAD,2,1,9
5,90,COL,SDP,4,1,9
5,90,NYM,MIA,1,2,9
6,91,CLE,SEA,2,0,9
6,91,CHW,HOU,4,6,9
6,91,LAA,OAK,13,1,9
6,91,PHI,TEX,3,16,9
6,91,DET,TBR,2,12,9
6,91,MIN,KCR,2,0,9
6,91,BAL,BOS,8,9,9
6,91,SFG,NYY,7,5,9
6,91,TOR,STL,1,4,9
6,91,ARI,LAD,1,10,9
6,91,COL,SDP,4,8,9
6,91,MIL,CHC,3,1,9
6,91,PIT,CIN,2,6,9
6,91,ATL,WSN,7,1,9
6,91,NYM,MIA,6,2,9
0,92,CLE,SEA,6,5,10
0,92,CHW,HOU,6,3,9
0,92,LAA,OAK,6,0,9
0,92,PHI,TEX,1,2,9
0,92,DET,TBR,1,5,9
0,92,MIN,KCR,7,4,9
0,92,BAL,BOS,5,9,9
0,92,SFG,NYY,0,6,9
0,92,TOR,STL,4,9,9
0,92,ARI,LAD,2,1,9
0,92,COL,SDP,1,3,9
0,92,MIL,CHC,9,5,9
0,92,PIT,CIN,1,3,9
0,92,ATL,WSN,1,4,9
0,92,NYM,MIA,5,1,9
1,93,LAA,SEA,7,3,9
1,93,DET,HOU,7,6,11
1,93,CLE,OAK,12,11,10
1,93,BAL,TEX,2,0,9
1,93,SFG,CHW,12,3,9
1,93,TOR,KCR,5,9,9
1,93,MIN,MIA,11,1,9
1,93,PIT,BOS,7,6,9
1,93,PHI,NYY,1,8,9
1,93,TBR,WSN,6,2,9
1,93,ARI,SDP,4,5,9
1,93,COL,LAD,4,13,9
1,93,CHC,CIN,6,7,9
1,93,NYM,MIL,0,10,9
1,93,ATL,STL,8,4,9
2,94,LAA,SEA,2,11,9
2,94,DET,HOU,6,3,9
2,94,CLE,OAK,3,4,9
2,94,BAL,TEX,7,2,9
2,94,TOR,KCR,4,1,9
2,94,MIN,MIA,0,1,9
2,94,PIT,BOS,4,1,9
2,94,PHI,NYY,4,1,9
2,94,TBR,WSN,10,6,9
2,94,ARI,SDP,8,6,9
2,94,COL,LAD,2,5,9
2,94,CHC,CIN,12,5,9
2,94,NYM,MIL,0,9,9
2,94,ATL,STL,4,1,9
3,95,LAA,SEA,4,3,9
3,95,DET,HOU,2,8,9
3,95,CLE,OAK,6,4,10
3,95,BAL,TEX,2,5,9
3,95,SFG,CHW,3,7,9
3,95,TOR,KCR,3,0,9
3,95,MIN,MIA,2,5,9
3,95,PIT,BOS,4,1,9
3,95,PHI,NYY,2,4,9
3,95,TBR,WSN,7,2,9
3,95,NYM,MIL,6,7,9
3,95,ATL,STL,5,2,9
4,96,SFG,CHW,16,6,9
4,96,BOS,DET,6,3,9
4,96,TOR,KCR,6,3,9
4,96,LAD,ARI,5,2,9
4,96,WSN,COL,0,1,9
4,96,SDP,ATL,6,7,9
5,97,SEA,CLE,5,3,9
5,97,HOU,MIN,2,3,10
5,97,OAK,TBR,5,9,9
5,97,TOR,LAA,4,3,9
5,97,TEX,CHC,0,2,9
5,97,CHW,PIT,9,13,9
5,97,KCR,SFG,3,1,9
5,97,NYY,BAL,6,7,9
5,97,LAD,ARI,3,6,9
5,97,WSN,COL,10,5,9
5,97,SDP,ATL,5,4,9
5,97,CIN,PHI,2,5,9
5,97,STL,MIL,0,4,9
5,97,MIA,NYM,3,9,9
6,98,SEA,CLE,3,2,9
6,98,HOU,MIN,6,9,9
6,98,OAK,TBR,0,11,9
6,98,TOR,LAA,5,9,9
6,98,TEX,CHC,3,10,9
6,98,CHW,PIT,11,5,9
6,98,BOS,DET,14,5,9
6,98,KCR,SFG,6,5,9
6,98,NYY,BAL,4,1,9
6,98,LAD,ARI,8,12,9
6,98,WSN,COL,7,6,9
6,98,SDP,ATL,4,1,9
6,98,CIN,PHI,2,3,9
6,98,STL,MIL,6,0,9
6,98,MIA,NYM,2,5,9
0,99,SEA,CLE,6,7,12
0,99,HOU,MIN,5,1,9
0,99,OAK,TBR,0,11,9
0,99,TOR,LAA,12,11,10
0,99,TEX,CHC,8,2,9
0,99,CHW,PIT,0,1,9
0,99,BOS,DET,4,1,9
0,99,KCR,SFG,1,3,9
0,99,NYY,BAL,5,3,9
0,99,LAD,ARI,6,11,9
0,99,WSN,COL,6,7,9
0,99,SDP,ATL,10,2,9
0,99,CIN,PHI,6,4,9
0,99,STL,MIL,1,6,9
0,99,MIA,NYM,7,2,9
1,100,SEA,CHC,2,3,10
1,100,HOU,PIT,8,2,9
1,100,OAK,BAL,1,5,9
1,100,WSN,LAA,6,4,9
1,100,KCR,TEX,2,11,9
1,100,CHW,MIN,4,3,9
1,100,NYY,CLE,2,3,9
1,100,BOS,TBR,0,1,9
1,100,MIL,ARI,0,3,9
1,100,STL,COL,4,7,9
1,100,LAD,SFG,9,1,9
1,100,SDP,NYM,0,5,9
1,100,CIN,ATL,4,5,10
1,100,MIA,PHI,3,15,9
2,101,SEA,CHC,9,14,9
2,101,HOU,PIT,4,7,9
2,101,OAK,BAL,8,12,9
2,101,WSN,LAA,0,2,9
2,101,KCR,TEX,5,8,10
2,101,CHW,MIN,3,4,10
2,101,NYY,CLE,11,2,9
2,101,DET,TOR,3,9,9
2,101,BOS,TBR,2,7,9
2,101,MIL,ARI,7,1,9
2,101,STL,COL,9,6,9
2,101,LAD,SFG,0,5,9
2,101,SDP,NYM,4,2,9
2,101,CIN,ATL,6,7,9
2,101,MIA,PHI,8,4,9
3,102,SEA,CHC,5,2,9
3,102,HOU,PIT,7,0,9
3,102,OAK,BAL,8,4,9
3,102,WSN,LAA,2,3,9
3,102,KCR,TEX,10,1,9
3,102,CHW,MIN,1,3,9
3,102,NYY,CLE,4,3,9
3,102,DET,TOR,3,4,10
3,102,BOS,TBR,7,9,9
3,102,MIL,ARI,3,7,9
3,102,STL,COL,7,4,9
3,102,LAD,SFG,10,5,9
3,102,SDP,NYM,2,5,9
3,102,CIN,ATL,4,5,9
3,102,MIA,PHI,3,2,10
4,103,OAK,BAL,7,8,9
4,103,DET,TOR,3,1,9
4,103,MIN,NYY,11,2,9
4,103,BOS,TBR,3,9,9
4,103,MIL,SDP,4,3,10
4,103,PHI,CIN,2,6,9
4,103,PIT,STL,5,0,9
5,104,COL,SEA,3,5,9
5,104,TEX,HOU,6,2,9
5,104,NYM,OAK,17,6,9
5,104,LAA,BOS,3,5,9
5,104,BAL,CHW,6,3,9
5,104,CLE,WSN,4,3,9
5,104,SFG,DET,5,7,11
5,104,ATL,KCR,10,3,9
5,104,MIN,NYY,4,3,9
5,104,TBR,TOR,3,6,9
5,104,ARI,MIA,1,5,9
5,104,CHC,LAD,8,2,9
5,104,MIL,SDP,11,2,9
5,104,PHI,CIN,8,3,9
5,104,PIT,STL,0,3,9
6,105,COL,SEA,2,9,9
6,105,TEX,HOU,2,8,9
6,105,NYM,OAK,3,2,9
6,105,LAA,BOS,7,9,9
6,105,BAL,CHW,6,7,10
6,105,CLE,WSN,6,4,9
6,105,SFG,DET,6,7,11
6,105,ATL,KCR,9,3,9
6,105,MIN,NYY,1,6,9
6,105,TBR,TOR,2,5,9
6,105,ARI,MIA,2,3,9
6,105,CHC,LAD,1,2,9
6,105,MIL,SDP,3,10,9
6,105,PHI,CIN,0,13,9
6,105,PIT,STL,6,3,10
0,106,COL,SEA,0,1,9
0,106,TEX,HOU,9,1,9
0,106,NYM,OAK,4,3,10
0,106,LAA,BOS,1,2,9
0,106,BAL,CHW,8,4,9
0,106,CLE,WSN,6,7,9
0,106,ATL,KCR,5,4,9
0,106,MIN,NYY,0,2,9
0,106,TBR,TOR,8,1,9
0,106,ARI,MIA,5,0,9
0,106,CHC,LAD,3,2,9
0,106,MIL,SDP,1,0,9
0,106,PHI,CIN,14,3,9
0,106,PIT,STL,4,5,10
1,107,MIL,SEA,7,3,9
1,107,TOR,HOU,2,9,9
1,107,CHC,OAK,10,1,9
1,107,LAA,BOS,5,4,9
1,107,TEX,KCR,4,0,9
1,107,TBR,CIN,1,8,9
1,107,ARI,STL,6,3,9
1,107,PIT,COL,14,3,9
1,107,NYM,LAD,8,6,9
1,107,ATL,SDP,2,0,9
1,107,SFG,MIA,3,4,9
2,108,MIL,SEA,6,5,11
2,108,TOR,HOU,4,2,9
2,108,CHC,OAK,4,0,9
2,108,LAA,NYY,5,2,9
2,108,TEX,KCR,12,2,9
2,108,PHI,CHW,7,4,9
2,108,PHI,CHW,0,3,9
2,108,CLE,DET,3,4,9
2,108,CLE,DET,0,1,9
2,108,MIN,BOS,4,5,10
2,108,BAL,WSN,1,0,9
2,108,TBR,CIN,10,0,9
2,108,ARI,STL,8,7,9
2,108,PIT,COL,5,3,9
2,108,NYM,LAD,0,5,9
2,108,ATL,SDP,8,1,9
2,108,SFG,MIA,2,4,9
3,109,MIL,SEA,5,3,9
3,109,TOR,HOU,1,8,9
3,109,CHC,OAK,12,2,9
3,109,LAA,NYY,2,3,10
3,109,TEX,KCR,12,3,9
3,109,PHI,CHW,5,2,9
3,109,CLE,DET,3,2,9
3,109,MIN,BOS,10,4,9
3,109,BAL,WSN,4,0,9
3,109,TBR,CIN,8,0,9
3,109,ARI,STL,5,14,9
3,109,PIT,COL,14,3,9
3,109,NYM,LAD,5,3,9
3,109,ATL,SDP,0,1,9
3,109,SFG,MIA,5,2,11
4,110,LAA,NYY,3,9,9
4,110,MIN,BOS,5,11,9
4,110,SDP,ARI,7,5,9
4,110,COL,PHI,5,0,9
4,110,LAD,CHC,6,2,9
4,110,NYM,SFG,9,4,9
4,110,CIN,PIT,3,4,9
5,111,STL,SEA,2,5,9
5,111,HOU,ATL,6,4,9
5,111,OAK,TEX,5,4,9
5,111,KCR,LAA,0,2,9
5,111,CHW,TBR,7,8,9
5,111,DET,BAL,1,2,9
5,111,WSN,MIN,3,2,9
5,111,BOS,MIL,5,3,9
5,111,TOR,NYY,6,1,9
5,111,SDP,ARI,0,9,9
5,111,COL,PHI,3,4,9
5,111,LAD,CHC,0,13,9
5,111,NYM,SFG,7,0,9
5,111,CIN,PIT,2,4,9
6,112,STL,SEA,4,5,9
6,112,HOU,ATL,6,3,9
6,112,OAK,TEX,3,18,9
6,112,KCR,LAA,11,8,9
6,112,CHW,TBR,3,4,10
6,112,MIA,CLE,6,1,9
6,112,MIA,CLE,3,2,9
6,112,DET,BAL,1,5,9
6,112,WSN,MIN,10,4,9
6,112,BOS,MIL,4,5,9
6,112,TOR,NYY,2,3,9
6,112,SDP,ARI,5,3,9
6,112,COL,PHI,3,4,9
6,112,LAD,CHC,9,4,9
6,112,NYM,SFG,4,7,9
6,112,CIN,PIT,1,2,9
0,113,STL,SEA,7,3,9
0,113,HOU,ATL,5,2,9
0,113,OAK,TEX,2,5,9
0,113,KCR,LAA,3,4,9
0,113,CHW,TBR,1,4,9
0,113,MIA,CLE,4,7,9
0,113,DET,BAL,1,2,10
0,113,WSN,MIN,1,3,9
0,113,BOS,MIL,12,5,9
0,113,TOR,NYY,5,1,9
0,113,SDP,ARI,7,5,9
0,113,COL,PHI,3,9,9
0,113,LAD,CHC,7,3,9
0,113,NYM,SFG,4,5,9
0,113,CIN,PIT,0,2,9
1,114,HOU,TBR,3,8,9
1,114,OAK,LAA,11,10,10
1,114,TEX,CIN,6,7,9
1,114,CHW,TOR,2,5,9
1,114,COL,CLE,6,0,9
1,114,DET,MIL,4,2,9
1,114,KCR,ARI,4,5,9
1,114,NYY,MIN,1,6,9
1,114,BOS,BAL,4,5,9
1,114,STL,SFG,0,4,9
1,114,MIA,ATL,0,11,9
2,115,SEA,PHI,5,3,9
2,115,HOU,TBR,5,0,9
2,115,OAK,LAA,3,5,9
2,115,TEX,CIN,6,7,9
2,115,CHW,TOR,0,7,9
2,115,COL,CLE,5,1,9
2,115,DET,MIL,4,3,9
2,115,KCR,ARI,5,4,9
2,115,NYY,MIN,2,6,9
2,115,BOS,BAL,8,6,9
2,115,LAD,PIT,8,7,9
2,115,SDP,CHC,0,6,9
2,115,STL,SFG,4,5,9
2,115,MIA,ATL,4,7,9
2,115,WSN,NYM,5,0,9
3,116,SEA,PHI,5,6,9
3,116,HOU,TBR,1,0,9
3,116,OAK,LAA,3,11,9
3,116,TEX,CIN,3,5,9
3,116,CHW,TOR,0,8,9
3,116,COL,CLE,1,4,9
3,116,DET,MIL,2,6,9
3,116,KCR,ARI,0,2,9
3,116,NYY,MIN,12,6,9
3,116,BOS,BAL,2,6,9
3,116,LAD,PIT,1,8,9
3,116,SDP,CHC,5,3,9
3,116,STL,SFG,3,7,9
3,116,MIA,ATL,4,6,9
3,116,WSN,NYM,4,1,9
4,117,SEA,PHI,0,1,9
4,117,OAK,LAA,7,8,9
4,117,NYY,TEX,4,2,9
4,117,TBR,CHW,14,5,9
4,117,BAL,DET,7,4,9
4,117,KCR,MIN,1,7,9
4,117,LAD,PIT,2,6,9
4,117,SDP,CHC,2,5,9
4,117,STL,SFG,6,0,9
4,117,MIA,ATL,5,4,9
4,117,WSN,NYM,8,9,9
5,118,SEA,TOR,2,3,9
5,118,PHI,HOU,3,1,9
5,118,CIN,OAK,11,7,9
5,118,LAA,MIL,1,2,9
5,118,NYY,TEX,2,5,9
5,118,TBR,CHW,3,2,9
5,118,CLE,BOS,5,2,9
5,118,KCR,MIN,6,8,9
5,118,ARI,COL,9,1,9
5,118,STL,LAD,3,7,9
5,118,CHC,MIA,2,3,9
5,118,ATL,NYM,4,0,5
6,119,SEA,TOR,0,1,10
6,119,PHI,HOU,6,1,9
6,119,CIN,OAK,3,2,9
6,119,LAA,MIL,5,7,9
6,119,NYY,TEX,0,2,9
6,119,TBR,CHW,12,3,9
6,119,CLE,BOS,7,8,10
6,119,BAL,DET,4,7,9
6,119,BAL,DET,6,4,9
6,119,KCR,MIN,3,2,9
6,119,ARI,COL,11,4,9
6,119,STL,LAD,0,1,9
6,119,SFG,SDP,11,16,9
6,119,CHC,MIA,6,7,9
6,119,PIT,WSN,6,3,9
6,119,PIT,WSN,16,1,9
0,120,SEA,TOR,10,8,10
0,120,PHI,HOU,3,4,9
0,120,CIN,OAK,4,5,9
0,120,LAA,MIL,3,0,9
0,120,NYY,TEX,2,15,9
0,120,TBR,CHW,9,12,9
0,120,CLE,BOS,1,7,9
0,120,BAL,DET,5,3,9
0,120,KCR,MIN,4,8,9
0,120,ARI,COL,4,12,9
0,120,STL,LAD,3,6,9
0,120,SFG,SDP,4,6,9
0,120,CHC,MIA,3,4,9
0,120,PIT,WSN,2,7,9
1,121,SFG,HOU,3,7,9
1,121,CLE,NYY,3,2,9
1,121,TOR,BOS,5,6,9
1,121,PHI,LAD,4,13,9
1,121,CIN,SDP,3,8,9
1,121,CHC,WSN,5,1,9
1,121,ATL,NYM,9,8,9
1,121,ATL,NYM,3,5,9
2,122,SEA,OAK,2,1,9
2,122,SFG,HOU,2,0,9
2,122,LAA,STL,5,1,9
2,122,ARI,TEX,4,6,9
2,122,MIN,CHW,2,3,10
2,122,CLE,NYY,2,4,9
2,122,BAL,KCR,11,7,9
2,122,TOR,BOS,6,7,9
2,122,PIT,TBR,1,4,9
2,122,MIL,COL,2,3,9
2,122,PHI,LAD,1,13,9
2,122,CIN,SDP,2,1,10
2,122,CHC,WSN,1,4,9
2,122,ATL,MIA,6,0,9
3,123,SEA,OAK,7,2,10
3,123,SFG,HOU,4,2,9
3,123,LAA,STL,6,4,9
3,123,ARI,TEX,12,7,9
3,123,MIN,CHW,4,6,9
3,123,CLE,NYY,3,4,10
3,123,NYM,DET,5,6,9
3,123,NYM,DET,1,8,9
3,123,BAL,KCR,0,6,9
3,123,TOR,BOS,3,8,9
3,123,PIT,TBR,1,8,9
3,123,MIL,COL,1,7,9
3,123,PHI,LAD,6,10,9
3,123,CIN,SDP,1,7,9
3,123,CHC,WSN,1,2,9
3,123,ATL,MIA,14,6,9
4,124,SEA,OAK,5,3,9
4,124,LAA,STL,11,7,9
4,124,MIN,CHW,7,3,12
4,124,NYM,DET,0,2,9
4,124,BAL,KCR,13,10,9
4,124,TOR,BOS,5,11,9
4,124,PIT,TBR,2,3,9
4,124,MIL,COL,6,9,9
4,124,CHC,WSN,3,4,9
4,124,ATL,MIA,6,3,9
5,125,HOU,SEA,6,4,9
5,125,OAK,KCR,12,8,9
5,125,TEX,LAA,4,5,10
5,125,CHW,CIN,5,4,9
5,125,MIN,CLE,2,0,9
5,125,DET,STL,5,4,9
5,125,BAL,ATL,9,4,9
5,125,BOS,PHI,5,3,9
5,125,NYY,TBR,4,5,9
5,125,TOR,PIT,4,0,9
5,125,WSN,ARI,1,3,9
5,125,COL,NYM,0,1,9
5,125,LAD,SDP,2,5,9
5,125,MIL,SFG,4,6,9
5,125,MIA,CHC,1,4,9
6,126,HOU,SEA,5,7,9
6,126,OAK,KCR,5,4,9
6,126,TEX,LAA,10,1,9
6,126,CHW,CIN,3,5,9
6,126,MIN,CLE,3,4,9
6,126,DET,STL,6,5,10
6,126,BAL,ATL,4,5,9
6,126,BOS,PHI,7,4,9
6,126,NYY,TBR,3,2,9
6,126,TOR,PIT,8,2,9
6,126,WSN,ARI,7,8,9
6,126,COL,NYM,5,2,9
6,126,LAD,SDP,2,1,9
6,126,MIL,SFG,1,4,9
6,126,MIA,CHC,2,4,9
0,127,HOU,SEA,1,3,9
0,127,OAK,KCR,1,5,9
0,127,TEX,LAA,16,8,9
0,127,CHW,CIN,17,4,9
0,127,MIN,CLE,0,2,9
0,127,DET,STL,6,12,9
0,127,BAL,ATL,2,3,12
0,127,BOS,PHI,1,6,9
0,127,NYY,TBR,7,8,10
0,127,TOR,PIT,10,1,9
0,127,WSN,ARI,9,8,9
0,127,COL,NYM,13,6,9
0,127,LAD,SDP,5,2,10
0,127,MIL,SFG,7,3,9
0,127,MIA,CHC,5,4,14
1,128,TEX,SEA,2,1,9
1,128,HOU,LAA,4,6,9
1,128,OAK,NYY,2,7,9
1,128,CHW,KCR,5,12,9
1,128,DET,CLE,6,2,9
1,128,TBR,BAL,3,0,9
1,128,MIA,ARI,2,5,9
1,128,COL,PIT,0,2,9
1,128,LAD,MIL,3,9,9
1,128,WSN,SFG,5,1,9
1,128,STL,CHC,3,1,9
2,129,TEX,SEA,0,5,9
2,129,HOU,LAA,3,1,9
2,129,OAK,NYY,5,10,9
2,129,CHW,KCR,4,2,9
2,129,DET,CLE,0,2,9
2,129,SDP,MIN,6,1,9
2,129,TBR,BAL,2,4,9
2,129,BOS,ATL,3,9,9
2,129,TOR,PHI,4,8,9
2,129,MIA,ARI,6,2,9
2,129,COL,PIT,10,1,9
2,129,LAD,MIL,6,2,9
2,129,WSN,SFG,1,4,9
2,129,STL,CHC,6,4,9
2,129,NYM,CIN,6,7,9
3,130,TEX,SEA,4,3,9
3,130,HOU,LAA,5,4,9
3,130,OAK,NYY,3,11,9
3,130,CHW,KCR,1,9,9
3,130,DET,CLE,5,0,9
3,130,SDP,MIN,3,4,11
3,130,TBR,BAL,1,2,9
3,130,BOS,ATL,5,2,9
3,130,TOR,PHI,1,2,10
3,130,MIA,ARI,5,4,9
3,130,COL,PIT,4,3,9
3,130,LAD,MIL,8,1,9
3,130,WSN,SFG,11,6,9
3,130,STL,CHC,4,10,9
3,130,NYM,CIN,2,1,9
4,131,TEX,OAK,4,0,9
4,131,CHW,KCR,3,4,9
4,131,SDP,MIN,3,5,9
4,131,TBR,NYY,8,2,9
4,131,SFG,ARI,6,2,9
4,131,NYM,CIN,0,5,9
5,132,SEA,DET,9,2,9
5,132,HOU,CHW,5,1,9
5,132,TEX,OAK,7,9,10
5,132,LAA,CLE,5,4,9
5,132,KCR,MIL,1,5,9
5,132,CHC,MIN,6,2,9
5,132,PIT,BAL,3,6,9
5,132,STL,BOS,8,6,9
5,132,TBR,NYY,5,6,9
5,132,ATL,TOR,0,3,9
5,132,SFG,ARI,5,7,9
5,132,PHI,COL,6,3,9
5,132,SDP,LAD,2,4,9
5,132,CIN,MIA,7,4,9
5,132,NYM,WSN,3,2,9
6,133,SEA,DET,5,0,9
6,133,HOU,CHW,1,3,9
6,133,TEX,OAK,5,0,9
6,133,LAA,CLE,6,8,9
6,133,KCR,MIL,3,4,9
6,133,CHC,MIN,1,11,9
6,133,PIT,BAL,0,2,9
6,133,STL,BOS,4,3,9
6,133,TBR,NYY,8,9,9
6,133,ATL,TOR,2,5,9
6,133,SFG,ARI,2,7,9
6,133,PHI,COL,7,4,9
6,133,SDP,LAD,2,4,9
6,133,CIN,MIA,6,5,9
6,133,NYM,WSN,2,3,9
0,134,SEA,DET,3,5,9
0,134,HOU,CHW,4,3,9
0,134,TEX,OAK,11,3,9
0,134,LAA,CLE,3,4,9
0,134,KCR,MIL,6,9,9
0,134,CHC,MIN,3,16,9
0,134,PIT,BAL,4,0,9
0,134,STL,BOS,9,1,9
0,134,TBR,NYY,8,7,9
0,134,ATL,TOR,5,6,9
0,134,SFG,ARI,1,2,9
0,134,PHI,COL,0,4,9
0,134,SDP,LAD,0,4,9
0,134,CIN,MIA,1,3,9
0,134,NYM,WSN,8,2,9
1,135,SEA,BOS,10,1,9
